userid,checktime,verifycode,workcode,sn
5,2025-10-09 05:05:17,0,0,A5NS193461028
1,2025-10-09 07:43:42,0,0,A5NS193461028
5,2025-10-09 07:44:07,0,0,A5NS193461028
13,2025-10-09 10:11:10,0,0,A5NS193461028
29,2025-10-09 10:38:35,0,0,A5NS193461028
1,2025-10-09 11:15:40,0,0,A5NS193461028
7,2025-10-09 11:15:57,0,0,A5NS193461028
13,2025-10-09 12:13:36,0,0,A5NS193461028
1,2025-10-09 12:16:21,0,0,A5NS193461028
5,2025-10-09 12:16:39,0,0,A5NS193461028
5,2025-10-09 12:16:41,0,0,A5NS193461028
1,2025-10-09 15:22:23,0,0,A5NS193461028
1,2025-10-09 16:09:06,0,0,A5NS193461028
5,2025-10-09 19:36:20,0,0,A5NS193461028
5,2025-10-10 05:06:01,0,0,A5NS193461028
5,2025-10-10 08:53:44,0,0,A5NS193461028
15,2025-10-13 03:30:08,0,0,A5NS193461028
13,2025-10-13 08:51:52,0,0,A5NS193461028
7,2025-10-13 11:04:28,0,0,A5NS193461028
1,2025-10-13 11:16:22,0,0,A5NS193461028
16,2025-10-13 13:30:51,0,0,A5NS193461028
15,2025-10-13 13:59:06,0,0,A5NS193461028
16,2025-10-13 14:06:48,0,0,A5NS193461028
16,2025-10-13 14:06:49,0,0,A5NS193461028
5,2025-10-14 05:02:58,0,0,A5NS193461028
13,2025-10-14 09:10:13,0,0,A5NS193461028
8,2025-10-14 10:43:03,0,0,A5NS193461028
7,2025-10-14 10:55:36,0,0,A5NS193461028
9,2025-10-14 11:02:08,0,0,A5NS193461028
5,2025-10-14 19:35:05,0,0,A5NS193461028
