userid,checktime,verifycode,workcode,sn
15,2026-01-15 02:05:41,0,0,A5NS193461028
5,2026-01-15 05:13:28,0,0,A5NS193461028
15,2026-01-15 06:05:43,0,0,A5NS193461028
15,2026-01-15 07:11:29,0,0,A5NS193461028
29,2026-01-15 07:52:26,0,0,A5NS193461028
5,2026-01-15 08:46:30,0,0,A5NS193461028
13,2026-01-15 08:53:54,0,0,A5NS193461028
40,2026-01-15 09:36:01,0,0,A5NS193461028
15,2026-01-15 09:39:20,0,0,A5NS193461028
5,2026-01-15 09:45:44,0,0,A5NS193461028
29,2026-01-15 09:59:27,0,0,A5NS193461028
3,2026-01-15 10:29:50,0,0,A5NS193461028
3,2026-01-15 10:29:52,0,0,A5NS193461028
9,2026-01-15 10:51:28,0,0,A5NS193461028
5,2026-01-15 12:33:09,0,0,A5NS193461028
15,2026-01-15 12:58:34,0,0,A5NS193461028
15,2026-01-15 17:30:11,0,0,A5NS193461028
