userid,checktime,verifycode,workcode,sn
13,2025-10-06 09:21:35,0,0,A5NS193461028
4,2025-10-06 10:28:09,0,0,A5NS193461028
9,2025-10-06 10:48:05,0,0,A5NS193461028
29,2025-10-06 11:26:07,0,0,A5NS193461028
5,2025-10-06 11:42:08,0,0,A5NS193461028
16,2025-10-06 12:26:12,0,0,A5NS193461028
16,2025-10-06 14:23:30,0,0,A5NS193461028
18,2025-10-06 14:40:55,0,0,A5NS193461028
18,2025-10-06 14:40:56,0,0,A5NS193461028
18,2025-10-06 15:46:34,0,0,A5NS193461028
29,2025-10-06 16:27:11,0,0,A5NS193461028
5,2025-10-06 18:17:58,0,0,A5NS193461028
